algorithm,size,total_comparisons,sample_count
insertion_sort,93,2385,1
merge_sort,93,495,1
quick_sort,93,659,1
bubble_sort,94,4266,1
selection_sort,94,4371,1
insertion_sort,94,2484,1
merge_sort,94,498,1
quick_sort,94,525,1
bubble_sort,95,4450,1
selection_sort,95,4465,1
insertion_sort,95,2179,1
merge_sort,95,506,1
quick_sort,95,652,1
bubble_sort,96,4554,1
selection_sort,96,4560,1
insertion_sort,96,2514,1
merge_sort,96,512,1
quick_sort,96,580,1
bubble_sort,97,4656,1
selection_sort,97,4656,1
insertion_sort,97,2229,1
merge_sort,97,530,1
quick_sort,97,812,1
bubble_sort,98,4725,1
selection_sort,98,4753,1
insertion_sort,98,2340,1
merge_sort,98,534,1
quick_sort,98,629,1
bubble_sort,99,4760,1
selection_sort,99,4851,1
insertion_sort,99,2460,1
merge_sort,99,541,1
quick_sort,99,606,1
bubble_sort,100,4929,1
selection_sort,100,4950,1
insertion_sort,100,2389,1
merge_sort,100,552,1
quick_sort,100,601,1
bubble_sort,10,35,1
selection_sort,10,45,1
insertion_sort,10,20,1
merge_sort,10,21,1
quick_sort,10,28,1
bubble_sort,11,55,1
selection_sort,11,55,1
insertion_sort,11,40,1
merge_sort,11,26,1
quick_sort,11,28,1
bubble_sort,12,63,1
selection_sort,12,66,1
insertion_sort,12,44,1
merge_sort,12,30,1
quick_sort,12,27,1
bubble_sort,13,78,1
selection_sort,13,78,1
insertion_sort,13,52,1
merge_sort,13,35,1
quick_sort,13,35,1
bubble_sort,14,55,1
selection_sort,14,91,1
insertion_sort,14,43,1
merge_sort,14,39,1
quick_sort,14,51,1
bubble_sort,15,105,1
selection_sort,15,105,1
insertion_sort,15,60,1
merge_sort,15,43,1
quick_sort,15,62,1
bubble_sort,16,119,1
selection_sort,16,120,1
insertion_sort,16,70,1
merge_sort,16,44,1
quick_sort,16,52,1
bubble_sort,17,135,1
selection_sort,17,136,1
insertion_sort,17,78,1
merge_sort,17,52,1
quick_sort,17,61,1
bubble_sort,18,153,1
selection_sort,18,153,1
insertion_sort,18,84,1
merge_sort,18,56,1
quick_sort,18,69,1
bubble_sort,19,170,1
selection_sort,19,171,1
insertion_sort,19,90,1
merge_sort,19,56,1
quick_sort,19,68,1
bubble_sort,20,135,1
selection_sort,20,190,1
insertion_sort,20,89,1
merge_sort,20,64,1
quick_sort,20,81,1
bubble_sort,21,210,1
selection_sort,21,210,1
insertion_sort,21,124,1
merge_sort,21,70,1
quick_sort,21,71,1
bubble_sort,22,195,1
selection_sort,22,231,1
insertion_sort,22,103,1
merge_sort,22,74,1
quick_sort,22,76,1
bubble_sort,23,238,1
selection_sort,23,253,1
insertion_sort,23,147,1
merge_sort,23,77,1
quick_sort,23,101,1
bubble_sort,24,275,1
selection_sort,24,276,1
insertion_sort,24,193,1
merge_sort,24,80,1
quick_sort,24,78,1
bubble_sort,25,285,1
selection_sort,25,300,1
insertion_sort,25,178,1
merge_sort,25,88,1
quick_sort,25,88,1
bubble_sort,26,304,1
selection_sort,26,325,1
insertion_sort,26,149,1
merge_sort,26,88,1
quick_sort,26,90,1
bubble_sort,27,341,1
selection_sort,27,351,1
insertion_sort,27,209,1
merge_sort,27,94,1
quick_sort,27,115,1
bubble_sort,28,363,1
selection_sort,28,378,1
insertion_sort,28,215,1
merge_sort,28,101,1
quick_sort,28,107,1
bubble_sort,29,391,1
selection_sort,29,406,1
insertion_sort,29,225,1
merge_sort,29,106,1
quick_sort,29,128,1
bubble_sort,30,390,1
selection_sort,30,435,1
insertion_sort,30,212,1
merge_sort,30,108,1
quick_sort,30,139,1
bubble_sort,31,455,1
selection_sort,31,465,1
insertion_sort,31,271,1
merge_sort,31,116,1
quick_sort,31,145,1
bubble_sort,32,490,1
selection_sort,32,496,1
insertion_sort,32,307,1
merge_sort,32,119,1
quick_sort,32,142,1
bubble_sort,33,518,1
selection_sort,33,528,1
insertion_sort,33,281,1
merge_sort,33,129,1
quick_sort,33,137,1
bubble_sort,34,546,1
selection_sort,34,561,1
insertion_sort,34,268,1
merge_sort,34,133,1
quick_sort,34,191,1
bubble_sort,35,574,1
