algorithm,size,total_comparisons,sample_count
quick_sort,83,515,1
bubble_sort,84,3465,1
selection_sort,84,3486,1
insertion_sort,84,1811,1
merge_sort,84,434,1
quick_sort,84,505,1
bubble_sort,85,3380,1
selection_sort,85,3570,1
insertion_sort,85,1865,1
merge_sort,85,444,1
quick_sort,85,479,1
bubble_sort,86,3649,1
selection_sort,86,3655,1
insertion_sort,86,1984,1
merge_sort,86,450,1
quick_sort,86,620,1
bubble_sort,87,3531,1
selection_sort,87,3741,1
insertion_sort,87,1636,1
merge_sort,87,459,1
quick_sort,87,496,1
bubble_sort,88,3750,1
selection_sort,88,3828,1
insertion_sort,88,2213,1
merge_sort,88,465,1
quick_sort,88,526,1
bubble_sort,89,3871,1
selection_sort,89,3916,1
insertion_sort,89,2095,1
merge_sort,89,471,1
quick_sort,89,573,1
bubble_sort,90,3914,1
selection_sort,90,4005,1
insertion_sort,90,1871,1
merge_sort,90,473,1
quick_sort,90,611,1
bubble_sort,91,4095,1
selection_sort,91,4095,1
insertion_sort,91,2134,1
merge_sort,91,478,1
quick_sort,91,627,1
bubble_sort,92,4171,1
selection_sort,92,4186,1
insertion_sort,92,2224,1
merge_sort,92,471,1
quick_sort,92,535,1
bubble_sort,93,4223,1
selection_sort,93,4278,1
insertion_sort,93,2423,1
merge_sort,93,501,1
quick_sort,93,702,1
bubble_sort,94,4326,1
selection_sort,94,4371,1
insertion_sort,94,2338,1
merge_sort,94,491,1
quick_sort,94,631,1
bubble_sort,95,4360,1
selection_sort,95,4465,1
insertion_sort,95,2245,1
merge_sort,95,501,1
quick_sort,95,575,1
bubble_sort,96,4235,1
selection_sort,96,4560,1
insertion_sort,96,2368,1
merge_sort,96,512,1
quick_sort,96,579,1
bubble_sort,97,4551,1
selection_sort,97,4656,1
insertion_sort,97,2409,1
merge_sort,97,528,1
quick_sort,97,602,1
bubble_sort,98,4648,1
selection_sort,98,4753,1
insertion_sort,98,2539,1
merge_sort,98,514,1
quick_sort,98,671,1
bubble_sort,99,4815,1
selection_sort,99,4851,1
insertion_sort,99,2604,1
merge_sort,99,541,1
quick_sort,99,697,1
bubble_sort,100,4859,1
selection_sort,100,4950,1
insertion_sort,100,2435,1
merge_sort,100,537,1
quick_sort,100,657,1
